program_id,years_since_start,annual_earnings,cumulative_earnings,cumulative_earnings_net_of_debt
cs,0,0.0,0.0,0.0
cs,1,0.0,0.0,0.0
cs,2,0.0,0.0,0.0
cs,3,0.0,0.0,0.0
cs,4,0.0,0.0,-20350.575654021766
cs,5,87315.84195554563,87315.84195554563,65664.86451723188
cs,6,100550.50775548758,187866.34971103322,164831.87481441122
cs,7,113785.1735554295,301651.5232664627,277145.14542394655
cs,8,127019.83935537144,428671.36262183415,402599.0272351812
cs,9,127019.83935537144,555691.2019772056,527952.8443593455
cs,10,127019.83935537144,682711.041332577,653200.2026629357
cs,11,127019.83935537144,809730.8806879484,778334.299427317
cs,12,127019.83935537144,936750.7200433199,903347.8972401341
cs,13,127019.83935537144,1063770.5593986914,1028233.2962183821
cs,14,127019.83935537144,1190790.3987540628,1152982.3044565318
cs,15,127019.83935537144,1317810.2381094343,1277586.2065862908
cs,16,127019.83935537144,1444830.0774648057,1402035.7303273336
cs,17,127019.83935537144,1571849.916820177,1526321.0109006204
cs,18,127019.83935537144,1698869.7561755485,1650431.5531677322
cs,19,127019.83935537144,1825889.59553092,1774356.191350904
cs,20,127019.83935537144,1952909.4348862914,1898083.0461791726
cs,21,127019.83935537144,2079929.2742416628,2021599.479296159
cs,22,127019.83935537144,2206949.1135970345,2144892.044754513
cs,23,127019.83935537144,2333968.952952406,2267946.4374108473
cs,24,127019.83935537144,2460988.7923077773,2390747.438023113
cs,25,127019.83935537144,2588008.6316631488,2513278.8548396947
cs,26,127019.83935537144,2715028.47101852,2635523.4614560474
cs,27,127019.83935537144,2842048.3103738916,2757462.9307003766
cs,28,127019.83935537144,2969068.149729263,2879077.7642946104
cs,29,127019.83935537144,3096087.9890846345,3000347.218020708
cs,30,127019.83935537144,3223107.828440006,3121249.222105094
cs_expected,0,0.0,0.0,0.0
cs_expected,1,0.0,0.0,0.0
cs_expected,2,19768.32,19768.32,16105.216382276081
cs_expected,3,19768.32,39536.64,35639.46406110352
cs_expected,4,19768.32,59304.96,42134.386100034106
cs_expected,5,75650.4588515492,134955.4188515492,116687.64527937549
cs_expected,6,84120.64496351205,219076.06381506126,199640.97951162566
cs_expected,7,92590.83107547488,311666.89489053615,290989.908700111
cs_expected,8,101061.01718743771,412727.91207797383,390729.6664699805
cs_expected,9,101061.01718743771,513788.92926541157,490384.9957630675
