occupation_group,decade,decade_is_partial,n,very_satisfied_pct,ci_low_95,ci_high_95
CS-related,ALL,False,600,48.8,44.9,52.8
CS-related,1970,False,33,57.6,40.8,72.8
CS-related,1980,False,73,53.4,42.1,64.4
CS-related,1990,False,113,57.5,48.3,66.2
CS-related,2000,False,127,54.3,45.7,62.7
CS-related,2010,False,108,41.7,32.8,51.1
CS-related,2020,True,146,38.4,30.9,46.4
Electrician,ALL,False,258,50.8,44.7,56.8
Electrician,1970,False,44,56.8,42.2,70.3
Electrician,1980,False,60,46.7,34.6,59.1
Electrician,1990,False,59,49.2,36.8,61.6
Electrician,2000,False,33,42.4,27.2,59.2
Electrician,2010,False,32,59.4,42.3,74.5
Electrician,2020,True,30,53.3,36.1,69.8
Finance-related,ALL,False,533,55.3,51.1,59.5
Finance-related,1970,False,47,74.5,60.5,84.7
Finance-related,1980,False,83,65.1,54.3,74.4
Finance-related,1990,False,88,53.4,43.1,63.5
Finance-related,2000,False,108,47.2,38.1,56.6
Finance-related,2010,False,104,61.5,51.9,70.3
Finance-related,2020,True,103,42.7,33.6,52.4
