year,occupation_group,occ10_title,satjob
1972,Finance-related,financial analysts,very satisfied
1972,Finance-related,financial managers,very satisfied
1972,Electrician,electricians,very satisfied
1972,CS-related,computer systems analysts,very satisfied
1972,Electrician,electricians,moderately satisfied
1972,Finance-related,financial managers,very satisfied
1972,Electrician,electricians,very satisfied
1972,Finance-related,financial managers,very satisfied
1972,Finance-related,financial managers,very satisfied
1972,Electrician,electricians,very satisfied
1972,Electrician,electricians,very satisfied
1972,CS-related,computer systems analysts,a little dissatisfied
1972,CS-related,computer programmers,moderately satisfied
1972,Electrician,electricians,very satisfied
1972,Electrician,electricians,very satisfied
1972,Electrician,electricians,moderately satisfied
1972,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
1972,CS-related,computer programmers,very satisfied
1972,CS-related,"software developers, applications and systems software",very satisfied
1972,Electrician,electricians,very satisfied
1972,CS-related,computer programmers,very satisfied
1972,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
1972,Finance-related,financial managers,moderately satisfied
1973,Finance-related,financial analysts,moderately satisfied
1973,Finance-related,personal financial advisors,very satisfied
1973,CS-related,"software developers, applications and systems software",a little dissatisfied
1973,CS-related,computer systems analysts,moderately satisfied
1973,Electrician,electricians,very satisfied
1973,CS-related,computer programmers,very satisfied
1973,Finance-related,financial managers,very satisfied
1973,Electrician,electricians,moderately satisfied
1973,CS-related,computer systems analysts,moderately satisfied
1973,Electrician,electricians,a little dissatisfied
1973,Electrician,electricians,very dissatisfied
1973,Finance-related,financial managers,very satisfied
1973,Finance-related,financial managers,very satisfied
1973,Finance-related,financial managers,moderately satisfied
1973,Finance-related,financial managers,very satisfied
1973,CS-related,computer systems analysts,very satisfied
1973,Finance-related,financial managers,very satisfied
1973,Electrician,electricians,very satisfied
1973,CS-related,computer programmers,very satisfied
1974,Finance-related,personal financial advisors,very satisfied
1974,Finance-related,financial managers,very satisfied
1974,Finance-related,"securities, commodities, and financial services sales agents",very dissatisfied
1974,Electrician,electricians,moderately satisfied
1974,Electrician,electricians,moderately satisfied
1974,Finance-related,financial managers,very satisfied
1974,Finance-related,financial managers,moderately satisfied
1974,Finance-related,financial managers,very satisfied
1974,Finance-related,financial managers,very satisfied
1974,Electrician,electricians,very satisfied
1975,CS-related,computer programmers,very satisfied
1975,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
1975,Electrician,electricians,very satisfied
1975,CS-related,computer programmers,very satisfied
1975,Electrician,electricians,very satisfied
1975,Finance-related,financial managers,very satisfied
1975,Electrician,electricians,very satisfied
1975,Finance-related,financial managers,a little dissatisfied
1975,Finance-related,financial managers,very satisfied
1975,CS-related,"software developers, applications and systems software",very satisfied
1975,CS-related,computer systems analysts,very satisfied
1975,Finance-related,financial managers,moderately satisfied
1975,Finance-related,financial managers,very satisfied
1975,Electrician,electricians,moderately satisfied
1975,Finance-related,financial managers,very satisfied
1975,Electrician,electricians,moderately satisfied
1975,Finance-related,financial managers,very satisfied
1975,Electrician,electricians,moderately satisfied
1975,Finance-related,financial managers,very satisfied
1975,CS-related,computer programmers,moderately satisfied
1975,Electrician,electricians,very satisfied
1975,CS-related,computer programmers,a little dissatisfied
1975,Finance-related,financial analysts,very satisfied
1975,Electrician,electricians,very satisfied
1976,Electrician,electricians,moderately satisfied
1976,Electrician,electricians,very satisfied
1976,CS-related,computer systems analysts,very satisfied
1976,Electrician,electricians,moderately satisfied
1976,CS-related,computer programmers,a little dissatisfied
1976,CS-related,computer systems analysts,very satisfied
1976,CS-related,computer programmers,very satisfied
1976,Finance-related,financial managers,very satisfied
1976,Finance-related,financial managers,very satisfied
1976,Finance-related,financial managers,very satisfied
1976,CS-related,computer programmers,moderately satisfied
1976,Electrician,electricians,very satisfied
1976,CS-related,computer programmers,moderately satisfied
1976,Finance-related,financial managers,very satisfied
1977,Finance-related,financial managers,very satisfied
1977,CS-related,computer systems analysts,moderately satisfied
1977,Finance-related,financial managers,a little dissatisfied
1977,Electrician,electricians,very satisfied
1977,Electrician,electricians,moderately satisfied
1977,Electrician,electricians,moderately satisfied
1977,Finance-related,financial managers,very satisfied
1977,CS-related,computer programmers,very satisfied
1977,Electrician,electricians,a little dissatisfied
1977,Electrician,electricians,very satisfied
1977,CS-related,computer systems analysts,very satisfied
1977,CS-related,computer systems analysts,moderately satisfied
1977,Finance-related,financial managers,very satisfied
1977,Electrician,electricians,very satisfied
1977,Finance-related,financial managers,moderately satisfied
1977,Finance-related,financial managers,moderately satisfied
1978,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
1978,CS-related,computer programmers,very satisfied
1978,Electrician,electricians,a little dissatisfied
1978,CS-related,"software developers, applications and systems software",very satisfied
1978,Electrician,electricians,very satisfied
1978,Electrician,electricians,very satisfied
1978,Electrician,electricians,moderately satisfied
